step 207: dis loss 0.335307, dis acc 0.000000, gan loss 0.321572, gan acc 0.000000
step 208: dis loss 0.325050, dis acc 0.000000, gan loss 0.334857, gan acc 0.000000
step 209: dis loss 0.334663, dis acc 0.000000, gan loss 0.352929, gan acc 0.000000
step 210: dis loss 0.330120, dis acc 0.000000, gan loss 0.313499, gan acc 0.000000
step 211: dis loss 0.329879, dis acc 0.000000, gan loss 0.326206, gan acc 0.000000
step 212: dis loss 0.348992, dis acc 0.000000, gan loss 0.349460, gan acc 0.000000
step 213: dis loss 0.326566, dis acc 0.000000, gan loss 0.340728, gan acc 0.000000
step 214: dis loss 0.312461, dis acc 0.000000, gan loss 0.326129, gan acc 0.000000
step 215: dis loss 0.325306, dis acc 0.000000, gan loss 0.327812, gan acc 0.000000
step 216: dis loss 0.300826, dis acc 0.000000, gan loss 0.322016, gan acc 0.000000
step 217: dis loss 0.307404, dis acc 0.000000, gan loss 0.298656, gan acc 0.000000
step 218: dis loss 0.322498, dis acc 0.000000, gan loss 0.340815, gan acc 0.000000
step 219: dis loss 0.339229, dis acc 0.000000, gan loss 0.342338, gan acc 0.000000
step 220: dis loss 0.351169, dis acc 0.000000, gan loss 0.381063, gan acc 0.000000
step 221: dis loss 0.330889, dis acc 0.000000, gan loss 0.343111, gan acc 0.000000
step 222: dis loss 0.310971, dis acc 0.000000, gan loss 0.338336, gan acc 0.000000
step 223: dis loss 0.312682, dis acc 0.000000, gan loss 0.334964, gan acc 0.000000
step 224: dis loss 0.325961, dis acc 0.000000, gan loss 0.321076, gan acc 0.000000
step 225: dis loss 0.321074, dis acc 0.000000, gan loss 0.317261, gan acc 0.000000
step 226: dis loss 0.327273, dis acc 0.000000, gan loss 0.339992, gan acc 0.000000
step 227: dis loss 0.324308, dis acc 0.000000, gan loss 0.324818, gan acc 0.000000
step 228: dis loss 0.332197, dis acc 0.000000, gan loss 0.327227, gan acc 0.000000
step 229: dis loss 0.320571, dis acc 0.000000, gan loss 0.306344, gan acc 0.000000
step 230: dis loss 0.325569, dis acc 0.000000, gan loss 0.330352, gan acc 0.000000
